event_id,category_id,organizer_id,event_name,event_date,event_time,venue,total_seats,available_seats,status,description,created_at
83,17,43,Fashion Show,4/29/2026,2:58 PM,Zhongzuiling,455,84,cancelled,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5/12/2026
84,10,18,Tech Conference,5/11/2026,6:54 AM,Hengdong Chengguanzhen,450,157,completed,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4/4/2026
85,7,4,Music Festival,6/8/2025,1:52 PM,Sungailiat,159,92,cancelled,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",4/28/2026
86,6,22,Sports Tournament,6/7/2025,10:21 AM,Wufeng,154,236,completed,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,9/13/2025
87,5,43,Sports Tournament,2/4/2026,6:40 PM,Beisijia,487,242,upcoming,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",6/8/2025
88,16,7,Sports Tournament,1/17/2026,11:00 AM,Wilmington,138,64,completed,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",9/29/2025
89,17,12,Business Summit,10/1/2025,2:43 AM,Xai-Xai,477,147,cancelled,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",3/16/2026
90,5,35,Music Festival,4/27/2026,12:58 AM,Verkhnyaya Tura,135,74,upcoming,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",8/29/2025
91,5,48,Business Summit,4/16/2026,8:57 AM,Zhanghua,182,213,upcoming,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,5/16/2025
92,15,27,AI Workshop,6/29/2025,3:11 AM,Bundibugyo,386,32,completed,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",7/7/2025
93,8,9,Business Summit,1/22/2026,7:15 PM,Chenqiao,287,111,upcoming,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,10/11/2025
94,11,22,Health Seminar,9/14/2025,12:43 AM,Zigong,169,465,cancelled,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",10/28/2025
95,8,22,AI Workshop,4/14/2026,9:02 AM,Castanheira de Pêra,453,229,upcoming,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",4/9/2026
96,7,22,AI Workshop,12/16/2025,6:29 AM,Ospina,258,400,completed,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",9/11/2025
97,19,38,Gaming Expo,7/20/2025,7:54 PM,Bobigny,340,44,upcoming,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",6/9/2025
98,10,2,Gaming Expo,12/7/2025,10:56 PM,Languan,320,364,upcoming,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",4/21/2026
99,14,41,Health Seminar,1/12/2026,9:53 AM,Kaiyuan,319,455,completed,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",9/19/2025
100,3,32,Startup Meetup,5/2/2026,1:19 AM,Minsk,488,433,upcoming,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",12/3/2025
